Serie,Diameter,Locatie nr,Uniek.nummer,x,y,Opnamenr.,Jaar,In,Opname,Uit,Dagen,Tijd,Totaal dagen uit,Geslacht,Leeftijdsfase,Opmerkingen,Camera,Totaal aantal opnames,Seizoen
Dieren,8,4,M18.4,204069,450033,,2018,16/02/2018,geen,25/03/2018,,,37,,,,Bushnell Throphycam HD,,spring
Dieren,8,6,M18.5,203918,449856,,2018,16/02/2018,geen,25/03/2018,,,37,,,,Bushnell Throphycam HD,,spring
Dieren,8,6,M18.6,203918,449856,,2018,17/06/2018,geen,02/07/2018,,,15,,,,Bushnell Throphy Cam HD Essential E3,,summer
25,8,6,M18.7,203918,449856,1,2018,14/08/2018,04/09/2018,15/09/2018,21,07:35,32,?,?,,Bushnell Throphycam HD,43,summer
25,8,6,M18.7,203918,449856,2,2018,15/08/2018,06/09/2018,16/09/2018,22,07:31,32,man,adult,,Bushnell Throphycam HD,,summer
25,8,6,M18.7,203918,449856,3,2018,16/08/2018,11/09/2018,17/09/2018,26,07:22,32,man,adult,,Bushnell Throphycam HD,,summer
Dieren,8,7,M18.8,204178,450141,,2018,17/06/2018,geen,02/07/2018,,,15,,,,Browning Dark Ops,,summer
Dieren,10,8,M18.9,203811,449963,,2018,25/03/2018,geen,13/04/2018,,,19,,,geen wel in buis ernaast,Bushnell Throphycam HD,,spring
26,10,8,M18.10,203811,449963,1,2018,01/06/2018,02/06/2018,27/06/2018,1,07:59,16,?,?,foto's,Scout guard White Flash,15,spring
Dieren,10,8,M18.11,203811,449963,,2018,14/08/2018,geen,15/09/2018,,,32,,,fotostand per ongeluk,Scout guard Two focus,,summer
27,8,9,M18.12,204041,449739,1,2018,25/03/2018,08/04/2018,13/04/2018,14,07:05,19,man,adult,,Bushnell Throphycam HD,6,spring
27,8,9,M18.12,204041,449739,2,2018,25/03/2018,09/04/2018,13/04/2018,15,20:13,19,man,adult,,Bushnell Throphycam HD,,spring
27,8,9,M18.12,204041,449739,3,2018,25/03/2018,10/04/2018,13/04/2018,16,11:42,19,man,adult,,Bushnell Throphycam HD,,spring
27,8,9,M18.12,204041,449739,4,2018,25/03/2018,12/04/2018,13/04/2018,18,09:42,19,man,adult,,Bushnell Throphycam HD,,spring
Dieren,10,10,M18.13,203957,449659,,2018,27/06/2018,geen,14/08/2018,,,48,,,,Scout guard Black IR,,summer
Dieren,10,11,M18.14,203846,449784,,2018,25/03/2018,geen,06/04/2018,,,12,,,,Bushnell Throphycam HD,,spring
29,8,11,M18.15,203846,449784,1,2018,04/05/2018,13/05/2018,21/05/2018,9,06:57,17,man,adult,,Bushnell Throphycam HD,6,spring
30,8,11,M18.16,203846,449784,1,2018,02/07/2018,04/08/2018,14/08/2018,33,06:09,43,vro,adult,,Bushnell Throphycam HD,5,summer
30,8,11,M18.16,203846,449784,2,2018,02/07/2018,09/08/2018,14/08/2018,38,18:47,43,vro,adult,,Bushnell Throphycam HD,,summer
31,8,11,M18.16,203846,449784,1,2018,15/09/2018,18/09/2018,05/10/2018,3,07:44,20,man,adult,,Bushnell Throphy Cam HD Essential E3,71,summer
31,8,11,M18.16,203846,449784,2,2018,15/09/2018,22/09/2018,05/10/2018,7,11:31,20,?,adult,,Bushnell Throphy Cam HD Essential E3,,summer
