Serie,Diameter,Locatie nr,Uniek.nummer,x,y,Opnamenr.,Jaar,In,Opname,Uit,Dagen,Tijd,Totaal dagen uit,Geslacht,Leeftijdsfase,Opmerkingen,Camera,Totaal aantal opnames,Seizoen
55,10,37,M18.54,203823,449967,13,2018,20/07/2018,10/08/2018,23/08/2018,21,09:55,25,?,?,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,14,2018,20/07/2018,11/08/2018,24/08/2018,22,13:49,25,man,adult,,Scout guard White Flash,,summer
55,10,37,M18.54,203823,449967,15,2018,20/07/2018,13/08/2018,25/08/2018,24,14:02,25,man,adult,,Scout guard White Flash,,summer
Dieren,8,38,M18.55,204019,449863,,2018,02/07/2018,geen,14/08/2018,,,43,,,,Bushnell Throphy Cam HD Essential E3,,summer
56,8,39,M18.56,204206,449784,1,2018,14/08/2018,27/08/2018,15/09/2018,13,17:53,32,man,adult,,Primos Proof Generation 3,19,summer
56,8,39,M18.56,204206,449784,2,2018,14/08/2018,04/09/2018,15/09/2018,21,04:30,33,man,adult,,Primos Proof Generation 3,,summer
56,8,39,M18.56,204206,449784,3,2018,14/08/2018,06/09/2018,15/09/2018,23,13:03,34,man,adult,,Primos Proof Generation 3,,summer
56,8,39,M18.56,204206,449784,4,2018,14/08/2018,08/09/2018,15/09/2018,25,06:55,35,vro,adult,,Primos Proof Generation 3,,summer
56,8,39,M18.56,204206,449784,5,2018,14/08/2018,08/09/2018,15/09/2018,25,19:40,36,man,adult,,Primos Proof Generation 3,,summer
56,8,39,M18.56,204206,449784,6,2018,14/08/2018,09/09/2018,15/09/2018,26,17:21,37,man,adult,,Primos Proof Generation 3,,summer
